Original Name,BDMAP Name
FELIX-OUT-1477_2,BDMAP_O0000344
FELIX-OUT-1477_3,BDMAP_O0000345
FELIX-OUT-1477_4,BDMAP_O0000346
FELIX-OUT-1477_5,BDMAP_O0000347
FELIX-OUT-1477_6,BDMAP_O0000348
FELIX-OUT-1478_1,BDMAP_O0000349
FELIX-OUT-1479_1,BDMAP_O0000350
FELIX-OUT-1480_1,BDMAP_O0000351
FELIX-OUT-1481_1,BDMAP_O0000352
FELIX-OUT-1481_2,BDMAP_O0000353
FELIX-OUT-1481_3,BDMAP_O0000354
FELIX-OUT-1481_4,BDMAP_O0000355
FELIX-OUT-1481_5,BDMAP_O0000356
FELIX-OUT-1481_6,BDMAP_O0000357
FELIX-OUT-1481_7,BDMAP_O0000358
FELIX-OUT-1481_8,BDMAP_O0000359
FELIX-OUT-1482_1,BDMAP_O0000360
FELIX-OUT-1482_2,BDMAP_O0000361
FELIX-OUT-1483_1,BDMAP_O0000362
FELIX-OUT-1483_2,BDMAP_O0000363
FELIX-OUT-1484_1,BDMAP_O0000364
FELIX-OUT-1484_2,BDMAP_O0000365
FELIX-OUT-1485_1,BDMAP_O0000366
FELIX-OUT-1486_1,BDMAP_O0000367
FELIX-OUT-1486_2,BDMAP_O0000368
FELIX-OUT-1487_1,BDMAP_O0000369
FELIX-OUT-1488_1,BDMAP_O0000370
FELIX-OUT-1488_2,BDMAP_O0000371
FELIX-OUT-1489_1,BDMAP_O0000372
FELIX-OUT-1489_2,BDMAP_O0000373
FELIX-OUT-1491_1,BDMAP_O0000374
FELIX-OUT-1491_2,BDMAP_O0000375
FELIX-OUT-1491_3,BDMAP_O0000376
FELIX-OUT-1492_1,BDMAP_O0000377
FELIX-OUT-1495_1,BDMAP_O0000378
FELIX-OUT-1496_1,BDMAP_O0000379
FELIX-OUT-1496_2,BDMAP_O0000380
FELIX-OUT-1496_3,BDMAP_O0000381
FELIX-OUT-1496_4,BDMAP_O0000382
FELIX-OUT-1498_1,BDMAP_O0000383
FELIX-OUT-1499_1,BDMAP_O0000384
FELIX-OUT-1560_1,BDMAP_O0000385
FELIX-OUT-1562_1,BDMAP_O0000386
FELIX-OUT-1563_1,BDMAP_O0000387
FELIX-OUT-1563_2,BDMAP_O0000388
FELIX-OUT-1564_1,BDMAP_O0000389
OralContrast_FELIX0700_Routine,BDMAP_O0000390
OralContrast_FELIX0701_Routine,BDMAP_O0000391
OralContrast_FELIX0702_Routine,BDMAP_O0000392
OralContrast_FELIX0703_Routine,BDMAP_O0000393
OralContrast_FELIX0704_Routine,BDMAP_O0000394
OralContrast_FELIX0741_Venous,BDMAP_O0000395
OralContrast_FELIX0742_Routine,BDMAP_O0000396
OralContrast_FELIX0743_Routine,BDMAP_O0000397
OralContrast_FELIX0744_Routine,BDMAP_O0000398
OralContrast_FELIX0745_Routine,BDMAP_O0000399
OralContrast_FELIX0746_Routine,BDMAP_O0000400
OralContrast_FELIX0747_Routine,BDMAP_O0000401
OralContrast_FELIX0748_Routine,BDMAP_O0000402
OralContrast_FELIX0749_Routine,BDMAP_O0000403
OralContrast_FELIX0750_Routine,BDMAP_O0000404
OralContrast_FELIX0751_Routine,BDMAP_O0000405
OralContrast_FELIX0753_Routine,BDMAP_O0000406
OralContrast_FELIX0754_Routine,BDMAP_O0000407
OralContrast_FELIX0755_Routine,BDMAP_O0000408
OralContrast_FELIX0757_Routine,BDMAP_O0000409
OralContrast_FELIX0758_Routine,BDMAP_O0000410
OralContrast_FELIX0759_Routine,BDMAP_O0000411
OralContrast_FELIX0760_Routine,BDMAP_O0000412
OralContrast_FELIX0761_Routine,BDMAP_O0000413
OralContrast_FELIX0762_Routine,BDMAP_O0000414
OralContrast_FELIX0763_Routine,BDMAP_O0000415
OralContrast_FELIX0764_Routine,BDMAP_O0000416
OralContrast_FELIX0765_Routine,BDMAP_O0000417
OralContrast_FELIX0766_Routine,BDMAP_O0000418
OralContrast_FELIX0767_Routine,BDMAP_O0000419
OralContrast_FELIX0769_Routine,BDMAP_O0000420
OralContrast_FELIX0770_Venous,BDMAP_O0000421
OralContrast_FELIX0771_Venous,BDMAP_O0000422
OralContrast_FELIX0772_Venous,BDMAP_O0000423
OralContrast_FELIX0773_Venous,BDMAP_O0000424
OralContrast_FELIX0774_Venous,BDMAP_O0000425
OralContrast_FELIX0775_Venous,BDMAP_O0000426
OralContrast_FELIX0778_Routine,BDMAP_O0000427
OralContrast_FELIX0779_Routine,BDMAP_O0000428
OralContrast_FELIX0780_Routine,BDMAP_O0000429
OralContrast_FELIX0781_Routine,BDMAP_O0000430
OralContrast_FELIX0782_Routine,BDMAP_O0000431
OralContrast_FELIX0783_Routine,BDMAP_O0000432
OralContrast_FELIX0784_Routine,BDMAP_O0000433
OralContrast_FELIX0785_Routine,BDMAP_O0000434
OralContrast_FELIX0787_Routine,BDMAP_O0000435
OralContrast_FELIX0788_ROUTINE,BDMAP_O0000436
OralContrast_FELIX0789_ROUTINE,BDMAP_O0000437
OralContrast_FELIX0790_ROUTINE,BDMAP_O0000438
OralContrast_FELIX0791_ROUTINE,BDMAP_O0000439
OralContrast_FELIX0792_ROUTINE,BDMAP_O0000440
OralContrast_FELIX0793_ROUTINE,BDMAP_O0000441
OralContrast_FELIX0794_ROUTINE,BDMAP_O0000442
OralContrast_FELIX0795_ROUTINE,BDMAP_O0000443
OralContrast_FELIX0796_ROUTINE,BDMAP_O0000444
OralContrast_FELIX0797_ROUTINE,BDMAP_O0000445
OralContrast_FELIX0808_Routine,BDMAP_O0000446
OralContrast_FELIX0809_Routine,BDMAP_O0000447
OralContrast_FELIX0810_Routine,BDMAP_O0000448
OralContrast_FELIX0811_Routine,BDMAP_O0000449
OralContrast_FELIX0812_Routine,BDMAP_O0000450
OralContrast_FELIX0813_Routine,BDMAP_O0000451
OralContrast_FELIX0816_ROUTINE,BDMAP_O0000452
OralContrast_FELIX0817_ROUTINE,BDMAP_O0000453
OralContrast_FELIX0818_ROUTINE,BDMAP_O0000454
CAPS_FELIX-CAPS-1002_ROUTINE2,BDMAP_O0000455
CAPS_FELIX-CAPS-1002_ROUTINE3,BDMAP_O0000456
CAPS_FELIX-CAPS-1003_ARTERIAL,BDMAP_O0000457
CAPS_FELIX-CAPS-1003_VENOUS,BDMAP_O0000458
CAPS_FELIX-CAPS-1005_Venous,BDMAP_O0000459
CAPS_FELIX-CAPS-1007_A_ARTERIAL,BDMAP_O0000460
CAPS_FELIX-CAPS-1007_A_VENOUS,BDMAP_O0000461
CAPS_FELIX-CAPS-1007_B_ARTERIAL,BDMAP_O0000462
CAPS_FELIX-CAPS-1007_B_VENOUS,BDMAP_O0000463
CAPS_FELIX-CAPS-1007_C_ARTERIAL,BDMAP_O0000464
CAPS_FELIX-CAPS-1007_C_VENOUS,BDMAP_O0000465
CAPS_FELIX-CAPS-1009_Venous,BDMAP_O0000466
CAPS_FELIX-CAPS-1011_A_Arterial,BDMAP_O0000467
CAPS_FELIX-CAPS-1011_A_Venous,BDMAP_O0000468
CAPS_FELIX-CAPS-1011_B_Arterial,BDMAP_O0000469
CAPS_FELIX-CAPS-1011_B_Venous,BDMAP_O0000470
CAPS_FELIX-CAPS-1011_C_Arterial,BDMAP_O0000471
CAPS_FELIX-CAPS-1011_C_Venous,BDMAP_O0000472
CAPS_FELIX-CAPS-1011_D_Arterial,BDMAP_O0000473
CAPS_FELIX-CAPS-1011_D_Venous,BDMAP_O0000474
CAPS_FELIX-CAPS-1012_Venous,BDMAP_O0000475
CAPS_FELIX-CAPS-1013_A_Arterial,BDMAP_O0000476
